user,text,favorite_count,retweet_count,created_at
elonmusk,@MuskUniversity And Tesla is getting it done,7767,660,2023-04-05 10:49:02+00:00
elonmusk,@dogeofficialceo ,19213,998,2023-04-05 09:47:23+00:00
elonmusk,"@andst7 Fermi was incredible. 

I like that he cared that we see no evidence of  aliens. It is a fundamental question about the nature of the universe.",6108,511,2023-04-05 09:46:21+00:00
elonmusk,@alx @CommunityNotes @GlennKesslerWP Maybe a link under the account name to the list of Community Notes of an account that is frequently posting incorrect information,25045,1923,2023-04-05 09:37:58+00:00
elonmusk,"@jakeshieldsajj Very sorry to hear that. Many people I know have been severely assaulted.

Violent crime in SF is horrific and even if attackers are caught, they are often released immediately.

Is the city taking stronger action to incarcerate repeat violent offenders @BrookeJenkinsSF?",71227,8527,2023-04-05 09:27:48+00:00
elonmusk,@Chad_Hurley  comments,986,62,2023-04-05 09:11:01+00:00
elonmusk,@Chad_Hurley Of ,7205,452,2023-04-05 09:02:52+00:00
elonmusk,@BogusThought ,2870,85,2023-04-05 07:06:36+00:00
elonmusk,@bennyjohnson @NPR Seems accurate https://t.co/nx5TmJY7GX,65762,7925,2023-04-05 07:01:37+00:00
elonmusk,@jjvincent lol,627,50,2023-04-05 06:56:58+00:00
elonmusk,@Umbisam Brand is the cumulative perception of a companys products over time,19010,1662,2023-04-05 02:51:37+00:00
elonmusk,Summary of argument against AI safety https://t.co/Vmg4yJm22Y,169770,15202,2023-04-04 23:15:03+00:00
elonmusk,@TitterDaily First Ive heard about this. Did they identify what content theyre concerned about?,2860,264,2023-04-04 20:25:10+00:00
elonmusk,"@AdamLowisz @David_Leavitt @BillyM2k Agreed. The moral guiding star should be to stop racism, not replace one form of it with another, as some have done.",8799,943,2023-04-04 20:01:14+00:00
elonmusk,@TEQNiKG @David_Leavitt @BillyM2k ,1686,71,2023-04-04 19:58:32+00:00
elonmusk,@jachiam0 Very true,2953,203,2023-04-04 19:56:28+00:00
elonmusk,"@David_Leavitt @BillyM2k The rules are consistent. Even though I think youre awful and I consider Billy Markus to be a friend, he still had to delete his post or be suspended.",48565,2508,2023-04-04 19:51:04+00:00
elonmusk,"@SenSchumer To avoid losing the trust of the American public, it is important that our justice system pursue Democrats and Republicans with equal vigor.

Whichever party most puts justice before nepotism is the one that deserves trust.",218551,28693,2023-04-04 19:43:28+00:00
elonmusk,@ShellenbergerMD !,5457,345,2023-04-04 19:38:44+00:00
elonmusk,@TheBabylonBee ,32033,1675,2023-04-04 19:34:52+00:00
elonmusk,"@SawyerMerritt @Tesla Tesla will continue to use outside litigators, but its important to build a powerful litigation team internally, so that were not always on the defensive. 

Well also go after the Wall St short-sellers, certain law firms &amp; (sometimes) corrupt regulators who are the true evil.",37900,4850,2023-04-04 19:32:19+00:00
elonmusk,@TheBabylonBee ,12705,508,2023-04-04 19:13:20+00:00
elonmusk,If the Dem Party had a time machine https://t.co/a1QE7JcGLB,484874,51736,2023-04-04 18:52:32+00:00
elonmusk,@yhazony straing daze theze r,20031,1280,2023-04-04 18:42:57+00:00
elonmusk,@krishnanrohit True,4961,285,2023-04-04 09:00:16+00:00
elonmusk,@alyssamvance  true,3815,214,2023-04-04 08:36:34+00:00
elonmusk,@planet4589 Spending time in deep space doesnt seem to affect lifespan,19698,1226,2023-04-04 08:35:21+00:00
elonmusk,"@ikristoph @brickroad7 Team is closing the loop on interventions very rapidly. To get enough training examples for potential serious accidents, we have to run them in sim, as we have so few in the fleet, despite doing ~1M miles per day of FSD.",3500,331,2023-04-04 06:51:54+00:00
elonmusk,"@brickroad7 Yup, happening in plain sight",17670,1089,2023-04-04 06:48:01+00:00
elonmusk,@EvaFoxU ,7935,528,2023-04-04 06:12:59+00:00
elonmusk,@cb_doge Ive been saying this for over a decade,69246,4644,2023-04-04 06:11:29+00:00
elonmusk,@BillyM2k Very true,14634,961,2023-04-04 01:52:45+00:00
elonmusk,@Jason Probably correct,4806,287,2023-04-03 22:33:31+00:00
elonmusk,"@WholeMarsBlog If we had been allowed to introduce new evidence, the verdict wouldve been zero imo.

Jury did the best they could with the information they had. I respect the decision.",25995,1502,2023-04-03 22:32:21+00:00
elonmusk,@LanceUlanoff ,1651,80,2023-04-03 22:28:52+00:00
elonmusk,@eCash1337 @TheRabbitHole84 ,1370,67,2023-04-03 22:23:35+00:00
elonmusk,@TheRabbitHole84 Wise words. The technology finally exists to change that.,30824,3137,2023-04-03 21:26:45+00:00
elonmusk,@andst7 @CommunityNotes Thanks for the correction,4597,243,2023-04-03 21:22:34+00:00
elonmusk,@jborg_arts Why would anyone who doesnt live in New York care about their times!? Im confused.,57960,3368,2023-04-03 21:07:57+00:00
elonmusk,@TheRabbitHole84 They voluntarily did exactly what I wanted them to do https://t.co/MqOSLaXk7l,32029,2129,2023-04-03 21:01:37+00:00
elonmusk,@arjansiddhpura @kcoleman @ScottAdamsSays Yes,1125,56,2023-04-03 20:58:14+00:00
elonmusk,@TheRabbitHole84 It is medias control of what to write about in the first place that is far more insidious than having some facts wrong in an article,59416,7306,2023-04-03 20:44:58+00:00
elonmusk,@mayemusk ,10865,449,2023-04-03 20:33:59+00:00
elonmusk,@dogeofficialceo ,19073,687,2023-04-03 20:27:23+00:00
elonmusk,@JoeyMooose Nope,9686,311,2023-04-03 20:20:26+00:00
elonmusk,@ylecun ,1121,49,2023-04-03 20:18:45+00:00
elonmusk,I wish the media would stop flattering me all time  its a bit much guys ,280316,15656,2023-04-03 20:17:23+00:00
elonmusk,@Chad_Hurley Video too,1181,66,2023-04-03 19:57:00+00:00
elonmusk,@Chad_Hurley ,3711,200,2023-04-03 19:56:46+00:00
elonmusk,@ShellenbergerMD Interesting,18259,1668,2023-04-03 19:50:34+00:00
elonmusk,@KanekoaTheGreat Wow,15278,1391,2023-04-03 19:50:14+00:00
elonmusk,@BillFOXLA @HildaSolis @LindseyPHorvath !,1249,110,2023-04-03 19:49:16+00:00
elonmusk,@TheRabbitHole84 !,13153,551,2023-04-03 19:45:20+00:00
elonmusk,As promised https://t.co/Jc1TnAqxAV,745358,56095,2023-04-03 19:44:24+00:00
elonmusk,@PeterDiamandis @cb_doge I ate three times body weight in donuts!,23916,884,2023-04-03 19:41:00+00:00
elonmusk,https://t.co/wmN5WxUhfQ,870418,81436,2023-04-03 18:50:20+00:00
elonmusk,@dogeofficialceo Nice,15134,952,2023-04-03 18:50:12+00:00
elonmusk,They should really get rid of that 100 IQ maximum limit for creating an account on Instagram,194757,14583,2023-04-03 13:29:00+00:00
elonmusk,@DavidSacks Concur,2918,171,2023-04-03 04:34:52+00:00
elonmusk,@TheBabylonBee ,11541,419,2023-04-03 04:17:02+00:00
elonmusk,MetamorphosisAI https://t.co/GvZ2etBfPL,422774,34317,2023-04-03 02:08:44+00:00
elonmusk,@boringcompany @TUM_Boring Well done!,7763,394,2023-04-03 02:03:10+00:00
elonmusk,"@ylecun Actually, airplanes used to crash frequently!

Eventually, so many people died that the FAA was created to ensure that commercial aircraft makers &amp; airlines didnt cut corners on safety. 

Now, flying on an airliner in America is super safe.

https://t.co/WCs2IuMyGb",33505,2349,2023-04-03 01:11:42+00:00
elonmusk,@andst7 @aagalloni Good question,5364,372,2023-04-03 01:01:43+00:00
elonmusk,"@Austen @CommunityNotes Critically, Community Notes applies equally to every account on this platform without exception, including world leaders &amp; our biggest advertisers",4294,377,2023-04-02 22:04:21+00:00
elonmusk,Credit to Tim Sweeney for realizing this before me https://t.co/92LUkaOEFz,62714,6000,2023-04-02 21:58:49+00:00
elonmusk,@TimSweeneyEpic ,10324,456,2023-04-02 21:57:34+00:00
elonmusk,@cb_doge ,15355,507,2023-04-02 21:56:35+00:00
elonmusk,"@Austen Once a writer gets Noted a few times, they usually try a lot harder to be truthful, which greatly amplifies the positive effect of @CommunityNotes",50134,3668,2023-04-02 21:52:45+00:00
elonmusk,@cb_doge True,27839,1040,2023-04-02 21:45:43+00:00
elonmusk,@micsolana ,5090,195,2023-04-02 21:41:34+00:00
elonmusk,@Scobleizer Some of the AI art is incredible &amp; it keeps getting better!,9512,654,2023-04-02 20:02:38+00:00
elonmusk,@BillyM2k Your feed is great,10366,488,2023-04-02 20:00:57+00:00
elonmusk,@SpaceForceCSO @SemperCitiusSDA Thank you for entrusting @SpaceX with this mission,8086,482,2023-04-02 19:58:38+00:00
elonmusk,@Reuters Deceptive headline backfires on Reuters,37420,3201,2023-04-02 19:57:05+00:00
elonmusk,"@Rainmaker1973 Can I interest you in a tunnel, perhaps? @boringcompany",60152,2475,2023-04-02 19:54:54+00:00
elonmusk,@GRRMspeaking  ,5565,1004,2023-04-02 19:53:17+00:00
elonmusk,@buccocapital Whoa,4598,307,2023-04-02 19:50:52+00:00
elonmusk,https://t.co/Cp7efOUIPu,561536,29271,2023-04-02 19:49:26+00:00
elonmusk,@dogeofficialceo lol,14187,625,2023-04-02 19:35:16+00:00
elonmusk,@all_in_tok @DavidSacks @MarkWarner Very concerning,40195,4228,2023-04-02 19:30:10+00:00
elonmusk,Great interview on AI https://t.co/YThAHf8ioy,32081,4824,2023-04-02 19:07:51+00:00
elonmusk,@Chad_Hurley Hallelujah ,3651,247,2023-04-02 18:42:06+00:00
elonmusk,"@dogeofficialceo @nytimes NY Times is being incredible hypocritical here, as they are super aggressive about forcing everyone to pay *their* subscription",160179,14714,2023-04-02 18:41:25+00:00
elonmusk,@TesLatino @Tesla FSD is getting really good,7301,493,2023-04-02 09:25:09+00:00
elonmusk,"@N__1__7 @Rainmaker1973 Yeah, above ground upside down pyramid should connect to an underground pyramid. Would be sick.",1407,97,2023-04-02 09:24:05+00:00
elonmusk,Feels like the future,36462,2102,2023-04-02 09:22:23+00:00
elonmusk,Walked whole Cybertruck production line at Giga Texas for several hours earlier today  gonna be awesome!,115011,7775,2023-04-02 06:40:37+00:00
elonmusk,@Rainmaker1973 These are great,8099,386,2023-04-02 06:28:05+00:00
elonmusk,@unusual_whales True,17763,1091,2023-04-02 06:25:21+00:00
elonmusk,"@TrungTPhan Verification of accounts will help a lot. We are adding date of verification to the profile. 

Note, only date since paid verification counts, since there was so much corruption in the past with legacy checkmarks.",2500,256,2023-04-02 06:18:52+00:00
elonmusk,@Scobleizer Ok,4549,198,2023-04-02 05:45:41+00:00
elonmusk,"Also, their feed is the Twitter equivalent of diarrhea. Its unreadable.

They would have far more real followers if they only posted their top articles. 

Same applies to all publications.",77806,7635,2023-04-02 05:44:40+00:00
elonmusk,@cb_doge $7 is a small price for freedom,40630,2681,2023-04-02 05:41:45+00:00
elonmusk,"@freddiesayers If there were in fact such an epidemic, the White House &amp; every newspaper in the western hemisphere would shout each case from the rooftops!

There isnt one.",143177,18151,2023-04-02 05:40:54+00:00
elonmusk,@PeterDiamandis What future do you want?,35822,2445,2023-04-02 05:36:27+00:00
elonmusk,@BillyM2k @AndrewYang ,2674,146,2023-04-02 05:32:19+00:00
elonmusk,@JeffTutorials @nytimes This,15438,544,2023-04-02 05:29:16+00:00
elonmusk,@ajlamesa Sounds familiar,2801,172,2023-04-02 05:27:54+00:00
elonmusk,The real tragedy of @NYTimes is that their propaganda isnt even interesting,234910,28818,2023-04-02 05:16:04+00:00
elonmusk, @CommunityNotes ,41182,3012,2023-04-02 05:01:40+00:00
elonmusk,@BillyM2k @waitbutwhy Billionaires suck lol,8014,442,2023-04-02 04:58:06+00:00
elonmusk,@alx @GlennKesslerWP @CommunityNotes Tell me this isnt the best $8 youve ever spent ,35895,2223,2023-04-02 04:45:50+00:00
elonmusk,@JTLonsdale Yup,8891,465,2023-04-02 04:30:21+00:00
elonmusk,"@cb_doge Oh ok, well take it off then",5417,474,2023-04-02 04:27:11+00:00
elonmusk,"@slashdot San Francisco cooked its golden geese. Now the Golden State risks doing the same.

Better to collect the golden eggs forever than eat the goose once.",12524,1259,2023-04-02 04:22:26+00:00
elonmusk,"@DrJBhattacharya You were a significant enough to be blacklisted, but allegedly not enough to be verified. They lied. In reality, it was just partisan censorship / propaganda.",43277,4741,2023-04-02 04:17:08+00:00
elonmusk,@Rainmaker1973 The White House is just a small cottage. We need to move on!,3847,284,2023-04-02 04:10:14+00:00
elonmusk,"@Rainmaker1973 We should build a new presidential office in the shape of a giant upside down pyramid!

Sure, theyve built normal pyramids before, but a giant upside down pyramid? That takes advanced technology.",23932,1761,2023-04-02 04:09:11+00:00
elonmusk,"@DavidSacks Our algorithm is obviously horrendous, but it will get better fast and in full view of the public, whose trust we must earn",8999,738,2023-04-02 04:05:30+00:00
elonmusk,"@DrJBhattacharya @ajlamesa The eagerness of English to add foreign words has contributed greatly to its success!

This is a great podcast: https://t.co/ld0DzE0y7j",1926,170,2023-04-02 03:33:25+00:00
elonmusk,@DrJBhattacharya @ajlamesa How much English is used in Italy? We love adding Italian words to our vocabulary!,2482,162,2023-04-02 03:31:29+00:00
elonmusk,@jowyang @ClementDelangue Wow,725,61,2023-04-02 03:16:15+00:00
elonmusk,"@DrJBhattacharya If an account is permanently suspended, all its activity is removed",5841,482,2023-04-02 03:12:46+00:00
elonmusk,@cb_doge Exactly,5458,318,2023-04-02 02:55:45+00:00
elonmusk,@cb_doge A little sugar is fine,55862,1907,2023-04-02 02:47:35+00:00
elonmusk,@cb_doge Oh  the irony,38559,1565,2023-04-02 02:26:25+00:00
elonmusk,@Jason Naughtius Maximus?,3943,214,2023-04-02 01:39:06+00:00
elonmusk,@cb_doge Yes,9943,517,2023-04-02 01:37:48+00:00
elonmusk,@EvaFoxU Inspiration for the @boringcompany (not a) flamethrower!,4722,269,2023-04-02 01:37:37+00:00
elonmusk,@JanJekielek @boriquagato Agreed,2899,122,2023-04-02 01:35:35+00:00
elonmusk,"@Supreme_Owl_FTW @ashleevance Extremely concerning, given that it leads to a dystopian future  just walk around downtown SF to see what will happen",4584,452,2023-04-02 01:34:29+00:00
elonmusk,"@ylecun @erikbryn Aerospace safety is overseen by the FAA, because people had had enough of dying due to shoddy manufacturing &amp; maintenance, but there is no agency overseeing AI at all.",1731,178,2023-04-02 01:19:47+00:00
elonmusk,@park2power @Erdayastronaut @WR4NYGov @_BRCooper Geo direct mission,632,53,2023-04-02 01:03:13+00:00
elonmusk,"@boriquagato Who is behind these botnets? 

Million dollar bounty if convicted.",57481,7405,2023-04-02 00:35:24+00:00
elonmusk,@PeterDiamandis @drmarkhyman I recommend having 1/4 to 1/2 of an epic donut  Its diminishing returns after the first few bites.,1743,110,2023-04-02 00:32:22+00:00
elonmusk,@BillyM2k  + ,32375,1477,2023-04-01 21:13:44+00:00
elonmusk,"@SciGuySpace More than days away, but hopefully not many weeks away",9517,701,2023-04-01 21:12:30+00:00
elonmusk,"@ashleevance You could literally film a Walking Dead episode unedited in downtown SF.

This is where San Francisco politics leads and Twitter was exporting this self-destructive mind virus to the world.

With some exceptions, other tech companies are still doing so. 

Evil in guise of good.",65639,13173,2023-04-01 20:56:57+00:00
elonmusk,@ashleevance ,1316,99,2023-04-01 20:50:23+00:00
elonmusk,"@DavidSacks They know they cannot defend what their algorithm actually does, so they will keep it closed",45901,4992,2023-04-01 20:48:25+00:00
elonmusk,@PeterDiamandis Ok fine AI should do fashion its awesome,10680,521,2023-04-01 19:28:10+00:00
elonmusk,@GlennKesslerWP Only thing on fire are Kesslers pants,6534,639,2023-04-01 19:24:33+00:00
elonmusk,@gaborgurbacs Steak is great too!,10675,258,2023-04-01 19:19:55+00:00
elonmusk,@GlennKesslerWP Incendiary  ,34562,2430,2023-04-01 19:18:09+00:00
elonmusk,Me after 1 day of not eating sugar https://t.co/BP0dqyvcg1,502061,22864,2023-04-01 19:16:11+00:00
elonmusk,@MuskUniversity Yeah!!,6111,373,2023-04-01 19:09:09+00:00
elonmusk,"@cb_doge @PeterDiamandis @drmarkhyman Somehow, Im still alive, despite having ice cream since I was a child. Its a miracle!",4823,372,2023-04-01 19:06:09+00:00
elonmusk,"@PeterDiamandis @drmarkhyman Sorry, thats just the donut talking",3129,114,2023-04-01 19:02:22+00:00
elonmusk,"@PeterDiamandis @drmarkhyman Also, that doc looks pretty old for someone whos only age 25",2826,117,2023-04-01 19:01:40+00:00
elonmusk,@PeterDiamandis @drmarkhyman Sugar is awesome ,36598,1742,2023-04-01 18:58:16+00:00
elonmusk,Wait for it  https://t.co/md8WiqdgJf,201933,14123,2023-04-01 16:53:08+00:00
elonmusk,"This is most of the recommendation code. In the coming weeks, we will open source literally everything that contributes to showing a tweet, such that the output can be at least roughly approximated.",18158,1830,2023-04-01 08:42:39+00:00
elonmusk,@BillyM2k @ericzhu105 !,7223,253,2023-04-01 08:05:50+00:00
elonmusk,@szymonkopec @petergyang Should be &amp; will be,1322,80,2023-04-01 08:04:23+00:00
elonmusk,@ZubyMusic Someone should make a movie about that,13022,599,2023-04-01 07:48:06+00:00
elonmusk,"@TitterDaily Avoiding dystopian outcomes is not easy. 

The intent is not for the algorithm to be some judgy moral arbiter, but rather that it do its best to inform &amp; entertain.

Trying to maximize unregretted user-minutes seems like the right objective.",13497,1274,2023-04-01 06:10:38+00:00
elonmusk,@TitterDaily It will,7878,344,2023-04-01 05:49:12+00:00
elonmusk,@sterlingcrispin I will die in America (or Mars if lucky),41867,2757,2023-04-01 05:48:57+00:00
elonmusk,@BillyM2k Yeah!,7291,402,2023-04-01 04:49:30+00:00
elonmusk,Dont Look Up  but AGI instead of comet,82012,6371,2023-04-01 04:48:55+00:00
elonmusk,"@ylecun According to my biological NNs, AI existential risk to humanity is non-trivial",3311,259,2023-04-01 03:30:04+00:00
elonmusk,@buccocapital ,8551,301,2023-04-01 03:27:42+00:00
elonmusk,We live in the most interesting of times,275580,31252,2023-04-01 03:10:07+00:00
elonmusk,@ylecun You really think AI is a single-edged sword?,31574,2321,2023-04-01 01:40:27+00:00
elonmusk,@miketx95 @BillyM2k So are we lol,1734,88,2023-04-01 00:37:19+00:00
elonmusk,@BillyM2k ,7044,341,2023-03-31 23:10:06+00:00
elonmusk,@unusual_whales Big reckoning coming due to low birth rate. Japan is a leading indicator.,52372,5151,2023-03-31 23:06:59+00:00
elonmusk,@Liv_Boeree Great concept,5642,343,2023-03-31 21:51:29+00:00
elonmusk,"@deepwhitman @ThePrimeagen 

But we are deleting this bs. I only learned about it now! Will be gone by tomorrow.",1858,123,2023-03-31 20:59:38+00:00
elonmusk,Twitter will be updating its recommendation algorithm based on user suggestions every 24 to 48 hours,103589,10789,2023-03-31 20:52:13+00:00
elonmusk,"@WallStreetSilv Most important, Twitter is never boring!",6414,405,2023-03-31 19:12:43+00:00
elonmusk,@WallStreetSilv Yup,7962,350,2023-03-31 19:11:54+00:00
elonmusk,"Twitter open source Spaces discussion happening now!
 https://t.co/VpS6frbOhT",47075,7006,2023-03-31 19:09:38+00:00
elonmusk,@growing_daniel SBF is co-commander of the human side. Thats how you can tell its fake.,5492,311,2023-03-31 18:58:33+00:00
elonmusk,"Twitter recommendation source code now available to all on GitHub 
https://t.co/9ozsyZANwa",124404,20884,2023-03-31 18:55:30+00:00
elonmusk,@rowancheung The AI carousel spins ever faster,9971,655,2023-03-31 18:48:07+00:00
elonmusk,"Most of the recommendation algorithm will be made open source today. The rest will follow.

Acid test is that independent third parties should be able to determine, with reasonable accuracy, what will probably be shown to users.

No doubt, many embarrassing issues will be https://t.co/jrBhnS3zRj",66921,9032,2023-03-31 18:46:19+00:00
elonmusk,@TrungTPhan ,2768,145,2023-03-31 18:31:48+00:00
elonmusk,@chiogb66 ,21659,277,2023-03-31 18:31:02+00:00
elonmusk,@Chad_Hurley It will matter if we extend consciousness to the stars,29295,1929,2023-03-31 18:29:30+00:00
elonmusk,Just borrowed my friends jacket wdyt?,136506,4393,2023-03-31 17:53:33+00:00
elonmusk,@westcoastbill Trying to figure out if its possible,5470,287,2023-03-31 17:51:02+00:00
elonmusk,https://t.co/qviPxhX7n8,933514,43023,2023-03-31 17:41:47+00:00
elonmusk,@dogeofficialceo Nice,30435,859,2023-03-31 17:41:13+00:00
elonmusk,@FitFounder ,10962,371,2023-03-31 08:26:57+00:00
elonmusk,"@PeterDiamandis Its not boring, thats for sure!",18563,905,2023-03-31 08:25:51+00:00
elonmusk,"@FoxNews WHO is being Captain Obvious here, but kudos nonetheless",86006,6259,2023-03-31 08:18:57+00:00
elonmusk,@DavidSacks @Jason Al Capone,3022,176,2023-03-31 08:16:54+00:00
elonmusk,@poast_bridau ,3135,198,2023-03-31 08:16:14+00:00
elonmusk,@nypost Please make this outfit real,71496,2319,2023-03-31 08:14:28+00:00
elonmusk,@nichegamer Really that good?,17015,597,2023-03-31 08:03:41+00:00
elonmusk,@Rainmaker1973 That was a good add,12828,597,2023-03-31 08:01:33+00:00
elonmusk,Works (almost) every time,51826,2983,2023-03-31 07:59:41+00:00
elonmusk,@SciGuySpace Yeah,1463,81,2023-03-31 07:32:38+00:00
elonmusk,@WorldAndScience With extreme difficulty,21680,915,2023-03-31 07:30:52+00:00
elonmusk,@WholeMarsBlog @RealDanODowd He has issues,7806,380,2023-03-31 07:30:25+00:00
elonmusk,@ZubyMusic It is (sigh),19551,922,2023-03-31 07:18:24+00:00
elonmusk,@DrJBhattacharya Absolutely,19378,1687,2023-03-31 07:17:15+00:00
elonmusk,@mattyglesias Wow,1065,92,2023-03-31 06:57:13+00:00
elonmusk,@KanekoaTheGreat @JeffLandry Very concerning,43082,3993,2023-03-31 06:51:15+00:00
elonmusk,@mattyglesias !,6009,406,2023-03-31 06:45:47+00:00
elonmusk,@PeterDiamandis The most powerful mental tool,12550,764,2023-03-31 06:20:28+00:00
elonmusk,@jordanbpeterson I feel fine,46053,1496,2023-03-31 05:57:44+00:00
elonmusk,Algorithm goes open source at noon Pacific Time,216843,18157,2023-03-31 05:56:45+00:00
elonmusk,"If you dont like reality, just ignore it",596200,93043,2023-03-31 05:45:41+00:00
